,Message,Length
1047,"uintptr_t roblox_base = (uintptr_t)GetModuleHandleA(0);\n\nusing print = DWORD64(__cdecl)(unsigned int a1, const char a2, ...);\nprint roblox_print = reinterpret_cast<print>(roblox_base + 0x13F3280);",199
1048,literally if you can inject,27
1049,if you can inject,17
1050,you should have them,20
1051,the other things,16
1052,no fucking way,14
1053,if you mean,11
1054,thats literally it?????,23
1056,file,4
1057,fucking,7
1058,the,3
1059,and it worked again,19
1060,I tested it,11
1061,so,2
1062,messagebox works,16
1063,nop,3
1064,is patched?,11
1065,you are  using,14
1066,Maybe,5
1067,I made it a long time ago,25
1068,;-;,3
1069,and it doesnt work anymore,26
1070,thats what im using too,23
1071,I don't know if it works,24
1072,tutorial,8
1073,it was speednextdoor's,22
1074,can u send,10
1075,something,9
1076,do it off a tutorial or sumtninhg,33
1077,did u like,10
1078,very nice,9
1079,I have made a printsploit before,32
1080,i've been trying for 2 days....,31
1081,a tutorial,10
1082,or like,7
1083,perchance,9
1084,do you have a prinstploit,25
1086,was patche,10
1087,the method i was using,22
1088,its cuz,7
1089,i figured why it wasnt working,30
1090,Btw so you got the print address?,33
1091,[Thumbs](,9
1092,I see,5
1093,Or not,6
1094,If you are a skid,17
1095,I don't actually care,21
1096,Don't worry,11
1097,and yeah im a skid,18
1098,i figured it out,16
1099,yeah i know,11
1100,I don't know if you are a skid or not but there isn't any print address in that link,84
1103,which offset here is the one for printing,41
1104,Joy emoji,9
1105,errr,4
1106,i am a skid how do i verify an old cert i chnged my time and it verifies but i cant figure out how to timestamp it to that time it always timestamps the current,160
1107,is there any issues with this,29
1108,Nvm figured it out,18
1109,What methods can I use,22
1110,Even while suspended,20
1111,Everytime I try to modify roblox memory it just crashes,55
1112,Bafelson,8
1113,me when 1 singular google search and an youtube video,53
1114,will do,7
1115,sorry,5
1116,learn then,10
1117,excuses,7
1118,my bad,6
1119,im still on basic C,19
1120,because i dont know shit about memory,37
1121,and that you quite literaly cannot review the code to see what is wrong,71
1122,you have literslly told the world that you lack the ability to fucking code shit that you have to resort to a rock that we tricked into thinking,144
1123,truth nuke,10
1124,i mean you're not wrong,23
1125,bloke youre retarded,20
1126,i give it the pointer for datamodel and it doesnt use it,56
1127,chatgpt is so retarded,22
1128,oh my fucking god,17
1129,smartest roblox exploiter,25
1130,read that ai generated code,27
1131,why,3
1132,im banishing you,16
1133,but i keep getting error Reading DataModel from address: 0x0000000005C2A520\nFailed to read DataModel from address 0x0000000005C2A520. Error: 299,145
1134,i tried using chatgpt to make a program that just reads walkspeed offset,72
1135,can someone help me,19
1136,FOR AN EXPLOIT?,15
1137,WHY?,4
1138,TYPESCRIPT,10
1139,ROBLOX,6
1140,YOU,3
1141,who?,4
1142,how can you enjoy that,22
1143,autistic,8
1144,are you like,12
1145,I use that to write my init script in a nice way.,49
1146,is that roblox-ts,17
1147,what the fuck,13
1148,lol guess what 🤨,16
1149,wouldn't know tho,17
1150,probably some other computers as well,37
1151,it's on my pc,13
1152,where r these roblox source resources,37
1153,where is roblox pdb,19
1154,just let it go already 💔,24
1155,to me it just seems like an excuse to not write a mapper,56
1156,I suppose?,10
1157,isn't that smart tho,20
1158,then you can swhx as you normally would,39
1159,"you rip a decade old leaked cert, then use this shit to sign ur DLL",67
1160,pseudo signed?,14
1161,he uses swhx with pseudo-signed DLLs like all the other skids out there,71
1162,they didn't rewrite the entire engine after the leak,52
1163,rest is trivial,15
1164,I can xref like half the strings in it,38
1165,lawliet thanks for the stuff im gonna test it out,49
1166,"you tried saying a source leak from 9 years ago ""has barely changed""",68
1167,for the resources n shit tho guys,33
1168,anyone with a brain could tell you this lawliet guy is retarded,63
1169,thanks,6
1170,rip,3
1171,you're out of arguments,23
1172,not telling,11
1173,jackie whats ur injection method,32
1174,im done with this conversation,30
1175,oh my god you are retarded,26
1176,years and year sand years old,29
1177,crazy how people still use the 2016 source when reverse engineering because roblox has barely touched the code,110
1178,thats like trying to compare current roblox to the 2016 source leak,67
1179,lmao tell me bro u know the ways 🙏,34
1180,"go ask the other guy, apparently I'm incompetent because I value old resources",78
1181,i've never used that function because its wrong and you are retarded if you call that function to do actor library anyways,122
1182,or write some kinda injector to do both at the same time or something,69
1183,i figured out what u mean  but im confused do i gotta run the manual mapper first and then the pool thing or what?,114
1184,using a pdb to come in here and try to flash card people with how actors work,77
1185,maybe you should go make a cheat instead of making these claims,63
1186,"if I have the address to an actor, I can get the thread",55
1187,jesus christ you must be retarded,33
1188,obviously it returns the associated thread,42
1189,is that your argument???,24
1190,"Oh so they changed what getGlobalStateForInstance does? When I pass an actor to that function, it just returns some random global state?",136
1191,thats alot of time for roblox to change how they do shit,56
1192,did you forget that 2022 was 3 years ago?,41
1193,you are using the pdb to try and disprove people who have actually reversed the game,84
1194,"you don't even have a cheat so you wouldn't know which one to ""iterate"" anyways",79
1195,I forget that Roblox cares so much about you,44
1196,"oh right, roblox has two different actor pools and one of them goes unused by the engine but is kept in for exploit developers",126
1197,nigga y'all shut my phone off,29
1198,you wouldn't know that though since you don't even have a cheat,63
1199,t mobile regional manager,25
1200,the actor pool you would be iterating is actually not present in the game anymore,81
1201,no it doesn't lmao,18
1202,the date of the pdb doesn't change the fact that getGlobalStateForInstance quite literally iterates the same actor pool you are iterating,137
1203,makes you look retarded,23
1204,maybe you should grow a brain and go actually reverse since using pdb's to try to prove people who have reversed actors wrong,125
1205,you are just in here to try to tell people they are wrong by using a outdated pdb from what like 2022?,102
1206,"if I wanted to cheat on Roblox, I'd write an executor",53
1207,gotcha,6
1208,"great, don't need to",20
1209,so you don't even use any software?,35
1210,"No, I don't pay for cheats",26
1211,you can't push deleted actors retard,36
1212,spoiler alert: it doesn't,25
1213,your point is that somehow getGlobalStateForInstance stops working if the actor is deleted,90
1214,so egotistical when you are just a consumer,43
1215,that explains why,17
1216,you don't even have a executor?,31
1217,you clearly don't understand the game if you don't understand what im trying to get across,90
1218,I would if I was developing an executor,39
1219,"""proper code"" you do realize that internally, it's *the same code*",66
1220,go run this,11
1221,you got beat by wave in terms of proper code,44
1222,how is wave going to out do you,31
1223,???,3
1224,"good for wave, they also can't differentiate strings from booleans",66
1225,and you are some pro using the worst way of doing actors,56
1226,because they are,16
1227,you need to get your ego checked LOL,36
1228,"yet you have the worst actor lib known to man, even wave stopped using that way of doing actors",95
1229,"why do you call everyone a ""shitsploit developer""",49
1230,>best executor on the market\n>calls it a shitsploit,52
1231,you seriously thought nihon was pasted?,39
1232,"If I had to keep tabs on every shitty paste, I wouldn't have time to write code",79
1233,thats a big cope,16
1234,I don't pay attention to shitsploits,36
1235,if you knew what went down you should know why we don't work for immune anymore,79
1236,i concur,8
1237,"```lua\nfor _, actor in getactors() do\n    if  == ""lol"" then\n        run_on_actor(actor, ""print(getrenv().shared.require)"")\n    end\nend```",142
1238,run this on phantom forces,26
1239,"that guy doesn't even know english, how do you expect him to know a programmig language",87
1240,do you not know how to read?,28
1241,"""when i was""",12
1242,for immune???,13
1243,oh you work for nihon???,24
1244,how do you think when i was working on nihon we had the ability to get actor threads and run on them perfectly,110
1245,you can pass any actor instance and get the related thread,58
1246,because it works,16
1247,how is it wrong,15
1248,"like, you'd have an amazing argument if it wasn't straight up wrong",67
1249,"those who try pushing a deleted actor and instead push some ""instance""",70
1250,crazy how my code works then,28
1251,LOL no you can't,16
1252,I lurk on burners sometimes,27
1253,no I don't have a v3rm acc,26
1254,I can pass deleted actors,25
1255,aren't you that retard that used to browse v3rm religiously?,60
1256,it's the same functionality,27
1257,the function iterates **the same** shit you are iterating,57
1258,brilliant,9
1259,oh does my silly little discord handle determine my intelligence?,65
1260,unable to run any pf script LOL,31
1261,good luck running on deleted actors,35
1262,oh yeah this explains why you are using the worst actor method known to man,75
1263,not what I do,13
1264,so bad,6
1265,wow,3
1266,actor state pool offset hasn't changed for weeks if not months,62
1267,Which coincidentally happens to work 100% of the time for any user-given case,77
1268,associating a script instance with your extraspace is begging for issues,72
1269,you are using the absolute worst way of doing actors,52
1270,I don't need to,15
1271,lmk when you can get every single actor thread from doing that,62
1272,one less offset I need to get,29
1273,I'd rather let Roblox do the iteration for me??,47
1274,its quite literally 1 offset,28
1275,imagine needing to call a func when you could reverse it and rub two braincells together,88
1276,that'd be a GREAT argument if it wasn't for the fact that my code works,71
1277,if you don't reverse actor pools correctly,42
1278,it works,8
1279,this is constantly empty,24
1280,insane how,10
1281,crazy how it returns an actor,29
1282,due to improper reversing and relying on years old pdb,54
1283,if you reversed it you would see the pool you are using is constantly empty,75
1284,I'm using them as the engine intended?,38
1285,you are using actors completely wrong,37
1286,you just need to grow a brain,29
1287,never said it was,17
1288,or what code,12
1289,I'm sorry you can't use IDA,27
1290,you're saying i gotta put my code in the main file but im saying do i need to make the shell code?,98
1291,it's not that difficult,23
1292,finds the actor,15
1293,takes an instance,17
1294,ik i gotta write the injector but im confused about how to use these sources in relation to one another like how to use the manual mapping with pool party or vice versa,168
1295,you don't associate script instances with your thread,53
1296,its wrong,9
1297,nah i get that,14
1298,"look, it's cute y'all skidded the same source, but getGlobalStateForInstance has the exact functionality you're looking for",123
1299,wrong,5
1300,or do you think that maybe *you* need to write the injector code,64
1301,you expect the injector to code itsef?,38
1302,my code from the manual mapping thing like what,47
1303,my code from what bro 😭 im confused,35
1304,I mean put your code in the  file,33
1305,like replace the shell code or what lmao im confused abt that part my bad,73
1306,wdym tho,8
1307,even if it's just ESP?,22
1308,Lmao,4
1309,you skid both and make a shitsploit,35
1310,if it's just esp,16
1311,can an external be detected by byfron,37
1312,or how i use them with eachother i should say my bad,52
1313,im mostly just confused about how i link the pool party to the manual mapper,76
1315,or the whole file lmao,22
1316,im saying in the  u want me to just replace the shell code ?,60
1317,no i do lool,12
1318,do you not know how to use other people's code,46
1319,like replace it in the file comepletely?,40
